name,parent,category,a_au,a_km,e,i_deg,w_deg,node_deg,m_deg,period_days,mass_10_24_kg,radius_km,pole_ra_deg,pole_dec_deg,pole_ra_rate_deg_per_cy,pole_dec_rate_deg_per_cy,pm_w_deg,pm_w_rate_deg_per_day,symbol
LYSITHEA,JUPITER,MOON,,11699100,0.117,27.7,48.3,9.2,328.5,258.5035,,,,,,,,,○
CARME,JUPITER,MOON,,23139200,0.261,164.6,6.5,115.5,259.5,719.2806,,,,,,,,,○
ANANKE,JUPITER,MOON,,21029500,0.238,147.6,78.8,13.7,271.7,623.1097,,,,,,,,,○
LEDA,JUPITER,MOON,,11145200,0.162,28.2,271.3,216.9,232.6,240.3264,,,,,,,,,○
CALLIRRHOE,JUPITER,MOON,,23789400,0.29,144.9,13.5,278.2,117.9,749.791,,,,,,,,,○
THEMISTO,JUPITER,MOON,,7397000,0.257,44.3,236.3,202.7,289.1,129.9681,,,,,,,,,○
MAGACLITE,JUPITER,MOON,,23640100,0.421,149.9,309.9,292.2,116.1,742.7715,,,,,,,,,○
TAYGETE,JUPITER,MOON,,23103400,0.257,164.7,207.7,300.8,116.5,717.5917,,,,,,,,,○
CHALDENE,JUPITER,MOON,,22926300,0.261,164.7,231.6,134.5,275.3,709.3625,,,,,,,,,○
HARPALYKE,JUPITER,MOON,,20887500,0.239,147.8,104.3,35.6,255.4,616.7833,,,,,,,,,○
KALYKE,JUPITER,MOON,,23298000,0.261,164.7,240.5,37.7,224.9,726.7007,,,,,,,,,○
IOCASTE,JUPITER,MOON,,21062300,0.223,148.7,91.4,268.9,182,624.5479,,,,,,,,,○
ERINOME,JUPITER,MOON,,23027200,0.272,164.3,359.9,311.2,273.1,714.0542,,,,,,,,,○
ISONOE,JUPITER,MOON,,22976300,0.249,164.9,131,134.1,116.3,711.6604,,,,,,,,,○
PRAXIDIKE,JUPITER,MOON,,20931100,0.245,148.2,182.5,281.3,128,618.7229,,,,,,,,,○
AUTONOE,JUPITER,MOON,,23785200,0.326,150.7,61.2,264.8,134,749.6097,,,,,,,,,○
THYONE,JUPITER,MOON,,20972700,0.235,147.6,105.1,240.8,242.5,620.5875,,,,,,,,,○
HERMIPPE,JUPITER,MOON,,21103600,0.22,150.2,277.2,330.3,158.6,626.3799,,,,,,,,,○
AITNE,JUPITER,MOON,,23059400,0.273,164.5,72.2,358.4,120.6,715.5396,,,,,,,,,○
EURYDOME,JUPITER,MOON,,22894500,0.287,148.9,223.4,297.7,281.8,707.8569,,,,,,,,,○
EUANTHE,JUPITER,MOON,,20822900,0.243,148.1,312.4,265.2,353.5,613.9278,,,,,,,,,○
EUPORIE,JUPITER,MOON,,19261900,0.148,145.5,109.5,63.4,56.4,546.1778,,,,,,,,,○
ORTHOSIE,JUPITER,MOON,,20897800,0.294,144.2,244.7,212.4,161.1,617.2347,,,,,,,,,○
SPONDE,JUPITER,MOON,,23538700,0.323,149.4,56.6,109.3,177.4,737.9542,,,,,,,,,○
KALE,JUPITER,MOON,,23047800,0.262,164.6,69.2,56.7,175.9,715.016,,,,,,,,,○
PASITHEE,JUPITER,MOON,,22840800,0.274,164.5,207.9,318,237.8,705.409,,,,,,,,,○
HEGEMONE,JUPITER,MOON,,23342600,0.357,152.5,192.2,311.5,241.1,728.7743,,,,,,,,,○
MNEME,JUPITER,MOON,,20815800,0.24,147.8,50.1,0.9,236.1,613.6104,,,,,,,,,○
AOEDE,JUPITER,MOON,,23773100,0.437,155.7,43.1,156.5,207.6,749.0708,,,,,,,,,○
THELXINOE,JUPITER,MOON,,20972300,0.229,150.7,307,174.9,275.1,620.5458,,,,,,,,,○
ARCHE,JUPITER,MOON,,23093200,0.263,164.5,172.5,333.3,34,717.1056,,,,,,,,,○
KALLICHORE,JUPITER,MOON,,23017100,0.253,164.7,352.6,23.9,66.8,713.5931,,,,,,,,,○
HELIKE,JUPITER,MOON,,20911400,0.155,154.4,305.1,94.6,45.8,617.8625,,,,,,,,,○
CARPO,JUPITER,MOON,,17039500,0.415,53.3,90.5,52.1,336.6,454.4,,,,,,,,,○
EUKELADE,JUPITER,MOON,,23062400,0.274,164.7,290.1,200.4,234.2,715.6868,,,,,,,,,○
CYLLENE,JUPITER,MOON,,23650000,0.421,146.8,174.6,253.6,153.3,743.2062,,,,,,,,,○
KORE,JUPITER,MOON,,24203300,0.338,141.7,135.3,324.2,40.6,769.4229,,,,,,,,,○
HERSE,JUPITER,MOON,,23146700,0.258,164.4,344.1,299.5,123.1,719.6264,,,,,,,,,○
S2010_J_1,JUPITER,MOON,,23185600,0.256,164.5,175.6,284.7,183.4,721.4257,,,,,,,,,○
S2010_J_2,JUPITER,MOON,,20786900,0.244,148,28.8,357.3,292.5,612.3507,,,,,,,,,○
DIA,JUPITER,MOON,,12257900,0.232,29.1,164.1,293.9,320.9,277.2472,,,,,,,,,○
S2016_J_1,JUPITER,MOON,,20796700,0.245,145.1,298.5,247.7,215.3,612.7812,,,,,,,,,○
S2003_J_18,JUPITER,MOON,,20332800,0.102,145.7,86.2,166.8,252.5,592.3333,,,,,,,,,○
S2011_J_2,JUPITER,MOON,,22903400,0.358,151.7,262.9,24.9,297.6,708.2931,,,,,,,,,○
EIRENE,JUPITER,MOON,,23051300,0.263,164.7,86.4,180,336.7,715.191,,,,,,,,,○
PHILOPHROSYN,JUPITER,MOON,,22600200,0.221,146.1,0.9,234.3,88.9,694.2042,,,,,,,,,○
S2017_J_1,JUPITER,MOON,,23739600,0.321,145.6,74.7,251.8,250.1,747.4382,,,,,,,,,○
EUPHEME,JUPITER,MOON,,20763400,0.234,147.9,73.6,227.5,339.8,611.316,,,,,,,,,○
S2003_J_19,JUPITER,MOON,,23153100,0.264,164.6,186.8,21.9,196.9,719.9222,,,,,,,,,○
VALETUDO,JUPITER,MOON,,18690100,0.217,34.5,316.3,291.2,90.5,522.0743,,,,,,,,,○
S2017_J_2,JUPITER,MOON,,22949600,0.27,164.5,153,359.4,278.2,710.4208,,,,,,,,,○
S2017_J_3,JUPITER,MOON,,20936500,0.238,147.9,105.7,27.9,235.4,618.9653,,,,,,,,,○
PANDIA,JUPITER,MOON,,11479600,0.178,28.9,188.7,249.8,158.5,251.2319,,,,,,,,,○
S2017_J_5,JUPITER,MOON,,23202000,0.261,164.7,292.5,42.3,69.3,722.1972,,,,,,,,,○
S2017_J_6,JUPITER,MOON,,23251200,0.333,149.6,15.5,312.8,146,724.4688,,,,,,,,,○
S2017_J_7,JUPITER,MOON,,20960400,0.235,147.4,288.7,264.9,353,620.0167,,,,,,,,,○
S2017_J_8,JUPITER,MOON,,22819600,0.259,164.8,330.5,97.3,349.4,704.4181,,,,,,,,,○
S2017_J_9,JUPITER,MOON,,21764200,0.197,155.4,276.4,245.3,243.3,656.0479,,,,,,,,,○
ERSA,JUPITER,MOON,,11399400,0.117,29,300.7,113.7,270.8,248.6153,,,,,,,,,○
S2011_J_1,JUPITER,MOON,,23120800,0.269,164.7,50.4,253.5,225.4,718.4153,,,,,,,,,○
S2003_J_2,JUPITER,MOON,,20992900,0.225,150.1,170.6,348.4,42.3,621.4715,,,,,,,,,○
S2003_J_4,JUPITER,MOON,,22922300,0.327,148.3,208.8,175.4,216.5,709.1229,,,,,,,,,○
S2003_J_9,JUPITER,MOON,,23195100,0.268,164.7,288.4,46.3,359.8,721.8792,,,,,,,,,○
S2003_J_10,JUPITER,MOON,,23384400,0.257,164.6,187.6,155.7,272.8,730.7375,,,,,,,,,○
S2003_J_12,JUPITER,MOON,,20959300,0.235,150,66.1,54.1,160.7,619.9611,,,,,,,,,○
S2003_J_16,JUPITER,MOON,,20877500,0.238,147.8,55.6,5.3,298.2,616.3444,,,,,,,,,○
S2003_J_23,JUPITER,MOON,,23824000,0.306,144.4,256.6,30.9,140.6,751.3993,,,,,,,,,○
S2003_J_24,JUPITER,MOON,,22882400,0.263,164.6,84.1,208.7,121.6,707.3347,,,,,,,,,○
S2011_J_3,JUPITER,MOON,,11716800,0.192,27.6,134.7,123.3,359.4,259.0875,,,,,,,,,○
S2018_J_2,JUPITER,MOON,,11419700,0.152,28.3,288.6,91.8,115.5,249.275,,,,,,,,,○
S2018_J_3,JUPITER,MOON,,23400200,0.268,164.9,177.5,135.7,279,731.4875,,,,,,,,,○
S2021_J_1,JUPITER,MOON,,20954700,0.228,150.5,20.6,241.1,129.1,619.7687,,,,,,,,,○
S2021_J_2,JUPITER,MOON,,20926600,0.242,148.1,25.9,269.5,110.8,618.5028,,,,,,,,,○
S2021_J_3,JUPITER,MOON,,20776600,0.239,147.9,218.6,141.7,167.9,611.8736,,,,,,,,,○
S2021_J_4,JUPITER,MOON,,23019700,0.265,164.6,140.5,129.9,218.9,713.7056,,,,,,,,,○
S2021_J_5,JUPITER,MOON,,23414600,0.272,164.9,273.4,154.4,236.5,732.1528,,,,,,,,,○
S2021_J_6,JUPITER,MOON,,22870400,0.271,164.9,146.2,87.2,208.5,706.7653,,,,,,,,,○
S2016_J_3,JUPITER,MOON,,22719300,0.251,164.6,94.7,36.8,59.1,699.7583,,,,,,,,,○
S2016_J_4,JUPITER,MOON,,23113900,0.294,147.1,249.4,203.2,217.5,718.0382,,,,,,,,,○
S2018_J_4,JUPITER,MOON,,16328500,0.177,50.2,285,52.1,138.3,426.2646,,,,,,,,,○
S2022_J_1,JUPITER,MOON,,22744700,0.257,164.5,232.4,310.9,42.2,700.9333,,,,,,,,,○
S2022_J_2,JUPITER,MOON,,23073400,0.263,164.7,357,47.7,98.9,716.2104,,,,,,,,,○
S2022_J_3,JUPITER,MOON,,21015100,0.248,148.1,351.6,233.1,271.7,622.4361,,,,,,,,,○
S2017_J_10,JUPITER,MOON,,21075800,0.209,145.1,195.3,329.6,157.7,625.1493,,,,,,,,,○
S2017_J_11,JUPITER,MOON,,22991300,0.268,164.8,25.5,134.9,236.9,712.3826,,,,,,,,,○
S2011_J_4,JUPITER,MOON,,11104600,0.128,28.5,46.2,342.4,314.6,239.0521,,,,,,,,,○
S2018_J_5,JUPITER,MOON,,23269900,0.261,164.9,292.4,189.4,82.9,725.3785,,,,,,,,,○
S2024_J_1,JUPITER,MOON,,23462100,0.273,164.7,108.8,272.4,147.7,734.3764,,,,,,,,,○
S2011_J_5,JUPITER,MOON,,23527800,0.251,164.6,90.5,43.7,66.6,737.4646,,,,,,,,,○
S2010_J_3,JUPITER,MOON,,23862900,0.313,148.3,30.2,312.4,40.1,753.2771,,,,,,,,,○
S2010_J_4,JUPITER,MOON,,22793400,0.278,164.6,161.9,147.5,80.4,703.1938,,,,,,,,,○
S2010_J_5,JUPITER,MOON,,23581000,0.257,164.6,270.4,309.5,233.7,739.9875,,,,,,,,,○
S2010_J_6,JUPITER,MOON,,21489800,0.297,149.9,73.2,279.1,87.8,643.6715,,,,,,,,,○
S2011_J_6,JUPITER,MOON,,23238700,0.261,164.9,211.5,310.6,54.2,723.934,,,,,,,,,○
S2017_J_12,JUPITER,MOON,,23270500,0.257,164.8,330.7,236.7,273.2,725.3986,,,,,,,,,○
S2017_J_13,JUPITER,MOON,,22842700,0.277,164.5,338.2,115.9,26.8,705.4972,,,,,,,,,○
S2017_J_14,JUPITER,MOON,,23412500,0.436,142.7,150.2,294.2,100.3,732.0424,,,,,,,,,○
S2017_J_15,JUPITER,MOON,,23170300,0.232,149.2,58.1,304.1,324.6,720.6535,,,,,,,,,○
S2017_J_16,JUPITER,MOON,,23007800,0.268,164.7,178.6,4.7,148.8,713.1292,,,,,,,,,○
S2017_J_17,JUPITER,MOON,,11776100,0.164,29,95,322.4,244.5,261.066,,,,,,,,,○
S2017_J_18,JUPITER,MOON,,22923800,0.254,164.9,238.8,39.9,40.6,709.2396,,,,,,,,,○
S2021_J_7,JUPITER,MOON,,23305900,0.253,149.4,13.3,286.5,293.4,727.0104,,,,,,,,,○
S2021_J_8,JUPITER,MOON,,20978900,0.243,147.1,34.6,132,85,620.8486,,,,,,,,,○
MIMAS,SATURN,MOON,,186000,0.02,1.6,160.4,66.2,275.3,0.942422,,198.2,40.66,83.52,-0.036,-0.004,333.46,381.994555,○
ENCELADUS,SATURN,MOON,,238400,0.005,0,119.5,0,57,1.370218,,252.1,40.66,83.52,-0.036,-0.004,6.32,262.7318996,○
TETHYS,SATURN,MOON,,295000,0.001,1.1,335.3,273,0,1.887802,,531.1,40.66,83.52,-0.036,-0.004,8.95,190.6979085,○
DIONE,SATURN,MOON,,377700,0.002,0,116,0,212,2.736916,,561.4,40.66,83.52,-0.036,-0.004,357.6,131.5349316,○
RHEA,SATURN,MOON,,527200,0.001,0.3,44.3,133.7,31.5,4.517503,,763.5,40.38,83.55,-0.036,-0.004,235.16,79.6900478,○
TITAN,SATURN,MOON,,1221900,0.029,0.3,78.3,78.6,11.7,15.945448,,2574.76,39.4827,83.4279,0,0,186.5855,22.5769768,○
HYPERION,SATURN,MOON,,1481500,0.105,0.6,214,87.1,122.9,21.276658,,135,,,,,,,○
IAPETUS,SATURN,MOON,,3561700,0.028,7.6,254.5,86.5,74.8,79.331002,,734.3,318.16,75.03,-3.949,-1.143,355.2,4.5379572,○
PHOEBE,SATURN,MOON,,12929400,0.164,175.2,240.3,192.7,308,550.30391,,106.5,356.9,77.8,0,0,178.58,931.639,○
HELENE,SATURN,MOON,,377600,0.007,0.2,194.3,260.8,-64.5,2.736916,,18,40.85,83.34,-0.036,-0.004,245.12,131.6174056,○
TELESTO,SATURN,MOON,,295000,0.001,1.2,66.2,242.1,360,1.887802,,,50.51,84.06,-0.036,-0.004,56.88,190.6979332,○
CALYPSO,SATURN,MOON,,295000,0.001,1.5,221.6,326.6,0,1.887803,,,36.41,85.04,-0.036,-0.004,153.51,190.6742373,○
METHONE,SATURN,MOON,,194700,0.002,0,315.5,0,0,1.009549,,,,,,,,,○
POLYDEUCES,SATURN,MOON,,377600,0.019,0.2,94.1,167.5,359,2.736916,,,,,,,,,○
JANUS,SATURN,MOON,,151500,0.007,0.2,11.1,159.9,111.7,0.697353,,89.2,40.58,83.52,-0.036,-0.004,58.83,518.2359876,○
EPIMETHEUS,SATURN,MOON,,151400,0.02,0.3,96.3,189.8,197.2,0.697012,,58.2,40.58,83.52,-0.036,-0.004,293.87,518.4907239,○
ATLAS,SATURN,MOON,,137700,0.001,0,82.3,0,289.1,0.604602,,15.1,40.58,83.53,-0.036,-0.004,137.88,598.306,○
PROMETHEUS,SATURN,MOON,,139400,0.002,0,341.9,0,135.4,0.615878,,43.1,40.58,83.53,-0.036,-0.004,296.14,587.289,○
PANDORA,SATURN,MOON,,141700,0.004,0,217.9,0,123.9,0.631369,,40.6,40.58,83.53,-0.036,-0.004,162.92,572.7891,○
PAN,SATURN,MOON,,133600,0,0,0,0,146.6,0.575051,,14,40.6,83.5,-0.036,-0.004,48.8,626.044,○
PALLENE,SATURN,MOON,,212300,0.004,0.2,194.9,304.3,2,1.156059,,,,,,,,,○
DAPHNIS,SATURN,MOON,,136500,0,0,0,0,153.6,0.59408,,,,,,,,,○
ANTHE,SATURN,MOON,,198100,0.002,0,293.4,0,351.4,1.038898,,,,,,,,,○
AEGAEON,SATURN,MOON,,167500,0,0,0,0,4.4,0.808115,,,,,,,,,○
YMIR,SATURN,MOON,,22955600,0.338,172.3,45.3,204.5,167.5,1298.6819,,,,,,,,,○
PAALIAQ,SATURN,MOON,,14997700,0.378,48.5,237.6,353.2,318.2,685.7153,,,,,,,,,○
TARVOS,SATURN,MOON,,18216600,0.522,37.8,282.9,95.7,64.5,917.984,,,,,,,,,○
IJIRAQ,SATURN,MOON,,11344700,0.293,49.2,68.6,152.5,83.4,451.1201,,,,,,,,,○
SUTTUNGR,SATURN,MOON,,19391900,0.116,175.7,65,253.2,171,1008.2451,,,,,,,,,○
KIVIUQ,SATURN,MOON,,11307400,0.275,48,91.8,352.7,183.2,448.9076,,,,,,,,,○
MUNDILFARI,SATURN,MOON,,18588200,0.211,167.1,305.4,79.2,299,946.2903,,,,,,,,,○
ALBIORIX,SATURN,MOON,,16329200,0.482,36.8,62.8,111.1,155,779.0701,,,,,,,,,○
SKATHI,SATURN,MOON,,15575400,0.281,151.6,202.3,284.1,269.3,725.7313,,,,,,,,,○
ERRIAPUS,SATURN,MOON,,17506900,0.475,37.1,279.8,146.2,14.3,864.9236,,,,,,,,,○
SIARNAQ,SATURN,MOON,,17881100,0.308,47.8,68.4,64,62.7,892.6799,,,,,,,,,○
THRYMR,SATURN,MOON,,20330500,0.467,175,92.2,247.3,216.2,1082.2292,,,,,,,,,○
NARVI,SATURN,MOON,,19285000,0.441,142.2,177.9,179,111.5,999.9417,,,,,,,,,○
AEGIR,SATURN,MOON,,20664400,0.255,166.1,244.7,181.9,23.5,1109.1278,,,,,,,,,○
BEBHIONN,SATURN,MOON,,17027300,0.459,38.6,5.1,197.7,128.4,829.6437,,,,,,,,,○
BERGELMIR,SATURN,MOON,,19268100,0.145,158.8,133.9,207.9,255.7,998.6187,,,,,,,,,○
BESTLA,SATURN,MOON,,20337800,0.486,138.3,85.6,283,33.1,1082.9444,,,,,,,,,○
FARBAUTI,SATURN,MOON,,20290700,0.249,156.2,343.6,138,9,1079.1243,,,,,,,,,○
FENRIR,SATURN,MOON,,22330800,0.137,164.5,114.5,234.6,38.6,1245.9215,,,,,,,,,○
FORNJOT,SATURN,MOON,,24936800,0.213,170,321.9,269.3,53.5,1470.3618,,,,,,,,,○
HATI,SATURN,MOON,,19695000,0.372,165.4,10.4,316.3,270.6,1032.0236,,,,,,,,,○
HYRROKKIN,SATURN,MOON,,18340900,0.336,149.9,264.8,40.2,214.8,927.4569,,,,,,,,,○
KARI,SATURN,MOON,,22032100,0.469,153,160.2,288.3,83.1,1220.9757,,,,,,,,,○
LOGE,SATURN,MOON,,22919200,0.191,168.1,20.5,333,32.1,1295.5243,,,,,,,,,○
SKOLL,SATURN,MOON,,17623400,0.463,159.4,186.1,294,181.2,873.5736,,,,,,,,,○
SURTUR,SATURN,MOON,,22748000,0.448,168.4,314.4,255.3,9.9,1281.1396,,,,,,,,,○
JARNSAXA,SATURN,MOON,,19273500,0.218,163,229.2,9.2,175.5,999.1271,,,,,,,,,○
GREIP,SATURN,MOON,,18380000,0.317,174.2,146.2,335.8,355.9,930.4389,,,,,,,,,○
TARQEQ,SATURN,MOON,,17751000,0.144,48.7,72.2,93.3,292.8,882.8514,,,,,,,,,○
GRIDR,SATURN,MOON,,19250600,0.187,163.9,271.4,330.8,197,997.3319,,,,,,,,,○
ANGRBODA,SATURN,MOON,,20591500,0.216,177.7,104.2,279.1,263,1103.1986,,,,,,,,,○
SKRYMIR,SATURN,MOON,,21447400,0.437,175.6,68.1,177.7,68.9,1172.7215,,,,,,,,,○
GERD,SATURN,MOON,,20947500,0.517,174.4,307.2,260.4,49.5,1131.9062,,,,,,,,,○
S2004_S_26,SATURN,MOON,,26097500,0.147,172.9,148.4,328.8,193.6,1574.2535,,,,,,,,,○
EGGTHER,SATURN,MOON,,19844600,0.157,165,130.1,84.5,111.7,1043.8035,,,,,,,,,○
S2004_S_29,SATURN,MOON,,17063900,0.485,38.6,309.5,157.9,244.1,832.2736,,,,,,,,,○
BELI,SATURN,MOON,,20703700,0.087,158.9,263.5,258.7,191.7,1112.2687,,,,,,,,,○
GUNNLOD,SATURN,MOON,,21141800,0.251,160.4,24.7,293.3,311.4,1147.7354,,,,,,,,,○
THIAZZI,SATURN,MOON,,23577500,0.511,158.8,303.2,73.1,334.7,1351.8319,,,,,,,,,○
S2004_S_34,SATURN,MOON,,24145800,0.279,168.3,354.5,292.6,160,1400.9299,,,,,,,,,○
ALVALDI,SATURN,MOON,,21993800,0.238,177.4,188.1,321.8,38.3,1217.8042,,,,,,,,,○
GEIRROD,SATURN,MOON,,22259400,0.539,154.4,349.6,127.9,202.2,1240.0465,,,,,,,,,○
S2004_S_31,SATURN,MOON,,17497100,0.159,48,253.9,82.5,261.8,863.9229,,,,,,,,,○
S2004_S_24,SATURN,MOON,,23338200,0.071,37.4,338.4,354,122.1,1331.3222,,,,,,,,,○
S2004_S_28,SATURN,MOON,,21865900,0.159,167.9,191.9,128.8,95.8,1207.1833,,,,,,,,,○
S2004_S_21,SATURN,MOON,,23160900,0.394,153.2,174.9,112.3,198.7,1316.1167,,,,,,,,,○
S2004_S_36,SATURN,MOON,,23390800,0.625,153.3,213.4,212.7,132,1335.8042,,,,,,,,,○
S2004_S_37,SATURN,MOON,,15956300,0.448,158.2,72.4,135.3,187.6,752.5465,,,,,,,,,○
S2004_S_39,SATURN,MOON,,23192400,0.1,165.9,223.3,168.9,83.8,1318.7417,,,,,,,,,○
S2004_S_7,SATURN,MOON,,21327600,0.511,164.8,54.9,323.8,116.9,1162.9264,,,,,,,,,○
S2004_S_12,SATURN,MOON,,19801000,0.337,164.7,88.1,306,10.9,1040.3896,,,,,,,,,○
S2004_S_13,SATURN,MOON,,18453700,0.265,169,355.4,217.8,51.9,936.0889,,,,,,,,,○
S2004_S_17,SATURN,MOON,,19699000,0.162,167.9,184.5,12.5,227.6,1032.3694,,,,,,,,,○
S2006_S_1,SATURN,MOON,,18746300,0.105,156.1,159.7,333.6,86.3,958.3236,,,,,,,,,○
S2006_S_3,SATURN,MOON,,21353100,0.432,156.1,191.6,213.3,125.3,1165.0194,,,,,,,,,○
S2007_S_2,SATURN,MOON,,15939100,0.232,174,46.4,107.3,10,751.3306,,,,,,,,,○
S2007_S_3,SATURN,MOON,,19614400,0.15,173.8,323.1,99.3,304.5,1025.6986,,,,,,,,,○
S2019_S_1,SATURN,MOON,,11245400,0.383,49.5,86.6,185.6,36.5,445.1701,,,,,,,,,○
S2019_S_2,SATURN,MOON,,16560300,0.279,173.3,103.2,95.3,185.1,795.6722,,,,,,,,,○
S2019_S_3,SATURN,MOON,,17077400,0.248,166.9,129.2,243.9,150.3,833.1917,,,,,,,,,○
S2020_S_1,SATURN,MOON,,11338600,0.337,48.2,73.2,161.7,2.1,450.7722,,,,,,,,,○
S2020_S_2,SATURN,MOON,,17869000,0.152,170.7,130.7,96.2,19.2,891.8576,,,,,,,,,○
S2004_S_40,SATURN,MOON,,16075600,0.297,169.2,127.5,37.9,291.4,760.9993,,,,,,,,,○
S2006_S_9,SATURN,MOON,,14406700,0.249,173,341.9,36,65.2,645.5771,,,,,,,,,○
S2007_S_5,SATURN,MOON,,15835600,0.104,158.4,44.4,128.9,23.2,744.0056,,,,,,,,,○
S2020_S_3,SATURN,MOON,,18056800,0.142,46,317.6,216.8,135.8,905.841,,,,,,,,,○
S2019_S_4,SATURN,MOON,,17951900,0.408,170.1,247,301.4,217.8,898.0889,,,,,,,,,○
S2004_S_41,SATURN,MOON,,18095400,0.301,165.7,232.6,43.6,343.6,908.8924,,,,,,,,,○
S2020_S_4,SATURN,MOON,,18236400,0.496,40.1,157.7,67.8,178.7,919.5174,,,,,,,,,○
S2020_S_5,SATURN,MOON,,18391000,0.22,48.2,285.7,214.9,232,931.1889,,,,,,,,,○
S2007_S_6,SATURN,MOON,,18545000,0.168,166.5,19.2,324.1,347.8,942.9785,,,,,,,,,○
S2004_S_42,SATURN,MOON,,18240700,0.158,165.7,107.2,3.9,325.2,919.8847,,,,,,,,,○
S2006_S_10,SATURN,MOON,,18979900,0.151,161.6,79.7,350.8,173.5,976.3438,,,,,,,,,○
S2019_S_5,SATURN,MOON,,19090100,0.216,158.8,321.5,271.1,59.4,984.8722,,,,,,,,,○
S2004_S_43,SATURN,MOON,,18935700,0.432,171.1,234,191.9,14.5,972.8528,,,,,,,,,○
S2004_S_44,SATURN,MOON,,19515400,0.129,167.7,176.4,39.5,292.8,1017.9146,,,,,,,,,○
S2004_S_45,SATURN,MOON,,19693700,0.551,154,350.6,306,75.7,1031.8604,,,,,,,,,○
S2006_S_11,SATURN,MOON,,19711900,0.143,174.1,159.9,254.4,353.1,1033.3521,,,,,,,,,○
S2006_S_12,SATURN,MOON,,19570300,0.542,38.6,78.1,155.1,249.6,1022.2868,,,,,,,,,○
S2019_S_6,SATURN,MOON,,18205600,0.12,46.4,286.9,154.2,185.7,917.1056,,,,,,,,,○
S2006_S_13,SATURN,MOON,,19953300,0.313,162,254.7,44.4,248.5,1052.316,,,,,,,,,○
S2019_S_7,SATURN,MOON,,20185100,0.233,174.2,6.3,226.6,336,1070.8007,,,,,,,,,○
S2019_S_8,SATURN,MOON,,20287400,0.311,172.8,144.6,168.6,31.8,1078.8604,,,,,,,,,○
S2019_S_9,SATURN,MOON,,20359700,0.433,159.5,316.4,114.2,244.7,1084.6194,,,,,,,,,○
S2004_S_46,SATURN,MOON,,20513800,0.249,177.2,298.1,281.1,209.2,1096.9882,,,,,,,,,○
S2019_S_10,SATURN,MOON,,20700300,0.248,163.9,352.9,274.7,149.5,1111.9924,,,,,,,,,○
S2004_S_47,SATURN,MOON,,16050700,0.291,160.9,295.4,294.8,25.2,759.2201,,,,,,,,,○
S2019_S_11,SATURN,MOON,,20664200,0.513,144.6,28.2,327.6,190.5,1109.1097,,,,,,,,,○
S2006_S_14,SATURN,MOON,,21062300,0.06,166.7,136.1,274.4,264.7,1141.2708,,,,,,,,,○
S2019_S_12,SATURN,MOON,,20895000,0.476,167.1,240.2,324.7,221.1,1127.5993,,,,,,,,,○
S2020_S_6,SATURN,MOON,,21253300,0.48,166.9,27.9,7,271.2,1156.8111,,,,,,,,,○
